group,CANALES
HBO2.mx,HBO 2,http://37.187.253.241:8000/hbo2.m3u8
UltraTV.hr,ULTRA TV,http://vemoxhlslive-i.akamaihd.net/hls/live/219940/vemoxchannel1/iOS/vemoxchannel1@219940/index.m3u8
ext,ULTRA TV OPC2,http://vemoxhlslive-i.akamaihd.net/hls/live/219940/vemoxchannel1/iOS/vemoxchannel1@219940/stream2/streamPlaylist.m3u8
ext,TaTeTi NIÑOS,http://ionlive1-lh.akamaihd.net/i/tateti_1@126174/master.m3u8
ext,South Park,http://iphone-streaming.ustream.tv/uhls/11064122/streams/live/iphone/playlist.m3u8
ESPNDeportes.us,ESPN DEPORTES,http://iphone-streaming.ustream.tv/uhls/20000054/streams/live/iphone/playlist.m3u8
ext,RT ESPAÑOL,http://iphone-streaming.ustream.tv/uhls/5903998/streams/live/iphone/playlist.m3u8
ext,LIBERTAD TV,http://iphone-streaming.ustream.tv/uhls/15837981/streams/live/iphone/playlist.m3u8
ext,TELESIG,http://iphone-streaming.ustream.tv/uhls/253309/streams/live/iphone/playlist.m3u8
ext,REDTV,http://iphone-streaming.ustream.tv/uhls/5642870/streams/live/iphone/playlist.m3u8
ext,PIXEL CHANNEL,http://iphone-streaming.ustream.tv/uhls/11360682/streams/live/iphone/playlist.m3u8
ext,TV VISA,http://iphone-streaming.ustream.tv/uhls/19675268/streams/live/iphone/playlist.m3u8
ext,FAMATV,http://iphone-streaming.ustream.tv/uhls/12135793/streams/live/iphone/playlist.m3u8
sport1_rus,TV,http://iphone-streaming.ustream.tv/uhls/18376856/streams/live/iphone/playlist.m3u8
DiscoveryChannel.mx,Discovery,http://iphone-streaming.ustream.tv/uhls/17248101/streams/live/iphone/playlist.m3u8
ext,Discovery (Opc.2),http://iphone-streaming.ustream.tv/ustreamVideo/17248101/streams/live/playlist.m3u8
ext,ANIME TV,http://video7.stream.mx:1935/raxatv/raxatv/chunklist_w884577146.m3u8?monclovacaliente.m3u8
ext,KW TV México,http://wpc.845d.edgecastcdn.net/hls-live/20845D/Live/kwlive/livetv,364,664,964,1264,.m3u8?hc_location=ufi
SportsNetNewYork.us,SPORTSNET,http://nlds187.cdnak.neulion.com/nlds/sportsnetnow/sn_360/as/live/sn_360_hd_ipad.m3u8
ext,CDN SportsMax,http://108.168.206.90:1935/cdnsm/cdnsm/playlist.m3u8
RealMadridTV.sp,Real Madrid TV,http://rmtvlive-lh.akamaihd.net/i/rmtv_1@154306/index_1250_av-p.m3u8#MegaIPTVArgentina
ext,PAC-12Net.(Arizona),http://xrxs.net/video/live-p12ariz-4728.m3u8?
ext,PAC-12Net.(Bay Area),http://xrxs.net/video/live-p12baya-4728.m3u8?
ext,PAC-12Net.(Los Angeles),http://xrxs.net/video/live-p12losa-4728.m3u8?
ext,PAC-12Net.(Moutain),http://xrxs.net/video/live-p12moun-4728.m3u8?
ext,PAC-12Net.(Oregon),http://xrxs.net/video/live-p12oreg-4728.m3u8?
ext,PAC-12Net.(Washington),http://xrxs.net/video/live-p12wash-4728.m3u8?
ext,USA-BASKET UNI.(Arizona),http://xrxs.net/video/live-p12ariz-1164.m3u8
ext,USA-BASKET UNI.(Los Angeles),http://xrxs.net/video/live-p12losa-1164.m3u8
ext,USA-BASKET UNI.(Moutain),http://xrxs.net/video/live-p12moun-1164.m3u8
ext,USA-BASKET UNI.(Oregon),http://xrxs.net/video/live-p12oreg-1164.m3u8
ext,USA-BASKET UNI.(Washington),http://xrxs.net/video/live-p12wash-2328.m3u8
ext,Antena3 Sports,http://antena3-aos1-apple-live.adaptive.level3.net/apple/antena3/channel01/antena_3_hd_1548K_1280x720_main.m3u8
ext,Eurosport1 ENG,http://esioslive6-i.akamaihd.net/hls/live/202874/AL_P_ESP1_INTER_ENG/playlist_1000.m3u8
ext,Eurosport1 France,http://esioslive6-i.akamaihd.net/hls/live/202892/AL_P_ESP1_FR_FRA/playlist_1800.m3u8
ext,FOX SPORT ARG,http://live.mvdigital.net:1935/live7/livestream1.sdp/playlist.m3u8
ext,GOL TV USA,http://ak-goltv-us-en-stream.fubo.tv/UT-Origin/ngrp:golTV_all/chunklist_b1596000.m3u8#MegaIPTVArgentina
ext,GOL TV ARG,http://live.mvdigital.net:1935/live12/livestream1.sdp/playlist.m3u8
ext,AMERICA SPORTS,http://iphone-streaming.ustream.tv/uhls/11602466/streams/live/iphone/playlist.m3u8
ext,Sevilla TV,http://flash0.80137-live0.dna.qbrick.com/80137-live0/sevillafc/stml.m3u8
ext,Sevilla OPC 2,rtmp://flash0.80137-live0.dna.qbrick.com:1935/80137-live0/sevillafc
RealMadridTV.sp,Real Madrid TV HD,http://rmtvlive-lh.akamaihd.net/i/rmtv_1@154306/index_1250_av-b.m3u8?sd=10&rebase=on
TNHD.ar,TN,rtsp://stream.tn.com.ar/live/tnhd1
ext,Victorias Secret Angels TV,http://stream02.yamgo.com/iPhone/HLS_TS/broadcast/victorias_secret_angels-tablet.3gp/victorias_secret_angels-tablet.3gp-mr648k.m3u8

group,Variedades - Latinos
ext,Miami TV HD 720 USA,rtmp://74.208.69.207:1935/live/miamitvhd
ext,TVEO Miami USA,http://iphone-streaming.ustream.tv/uhls/14034121/streams/live/iphone/playlist.m3u8#MegaIPTVArgentina
ext,MUSIC VEVO1 HD,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch1/05/prog_index.m3u8
ext,music VEVO HD,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch1/appleman.m3u8
ext,MUSIC Vevo2 HD,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch2/05/prog_index.m3u8
ext,MUSIC Vevo3 HD,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch3/05/prog_index.m3u8
ext,KISS TV MUSIC,rtmp://tst.es.flash.glb.ipercast.net:1935/tst.es-live/live
ext,First MusicHD,rtmp://109.239.142.62:1935/live/livestream3
ext,MUSIC,http://www.djing.com/tv/hothothot.m3u8
ext,FOR MUSIC WEB,rtmp://wowza1.top-ix.org:1935/quartaretetv1/formusicweb
ext,QUIEROMUSICA,mms://200.42.92.6:1755/qmusica
ext,IBIZA ON TV,rtsp://46.249.213.87/broadcast/ibizaontv-tablet.3gp?trackingid=3041310000
CapitalTV.uk,CAPITAL TV,http://ooyalahd2-f.akamaihd.net/i/globalradio01_delivery@156521/index_656_av-p.m3u8?sd=10&rebase=on
ext,HEART TV,http://ooyalahd2-f.akamaihd.net/i/globalradio02_delivery@156522/master.m3u8#MegaIPTVArgentina
RougeTV.fr,ROUGE TV,rtmp://rtmp.infomaniak.ch:1935/livecast/rougetv
ext,VIRGIN TV,http://wow01.105.net/live/virgin1/.m3u8
ext,DREAM,http://212.224.108.80/S1/HLS_LIVE/dreamtv/1000/prog_index.m3u8
FashionTV.nws,FASHION TV,http://hls.novotelecom.ru/streaming/fashion/tvrec/playlist.m3u8
ext,RADIO 105 TV,http://serv07.vintera.tv:1935/restream/105tv.stream/playlist.m3u8
ext,RADIO MONTECARLO,http://serv07.vintera.tv:1935/restream/rmc.stream/playlist.m3u8
ext,PLANETA POP,http://rrr.sz.xlcdn.com/?account=AATW&file=ppop&type=live&service=wowza&protocol=http&output=playlist.m3u8
ext,IB3,http://ibsatiphone.ib3tv.com/iphoneliveIB3/IB3/IB3.m3u8
NOWMusic.uk,NOW MUSIC,http://rrr.sz.xlcdn.com/?account=AATW&file=nowmusic&type=live&service=wowza&protocol=http&output=playlist.m3u8
M6MusicHits.fr,M6 MUSIC,http://sslhls.m6tv.cdn.sfr.net/hls-live/livepkgr/_definst_/m6_music_hits_hls_aes/m6_music_hits_hls_aes_856.m3u8
ext,TUBA TV,rtmp://fms.gazeta.pl:1935/aglive/tuba_tv
a-one,A-One,http://hls.novotelecom.ru/streaming/aone/tvrec/playlist.m3u8?=-1
ext,AKA,http://rrr.sz.xlcdn.com/?account=AATW&file=akanew&type=live&service=wowza&protocol=http&output=playlist.m3u8
ext,Electrosound TVHD,rtmp://www.electrosound.tv:1935/public/stream
ext,Gold TV,http://87.248.160.8/edge/smil:goldtv/playlist.m3u8#MegaIPTVArgentina
ext,Amazing,http://redir.atmcdn.pl/hls/mm/multimedia/live/amazing/live.livx/playlist.m3u8?sessionId=ABA74CBC0702307FF0B559F938FC9B21.node1&stream=2
mbu,Music Box UA,rtmp://212.26.132.86:1935/live/mb_ua
ext,HardLife,http://rtk1.peers.tv/streaming/hardlife_tv/126/tvrec/playlist.m3u8#MegaIPTVArgentina
ext,Global Star TV,http://msk2.peers.tv/streaming/globalstartv/126/tvrec/playlist.m3u8#MegaIPTVArgentina
ext,Si TV,http://hd.worldkast.com:1935/8436/8436/playlist.m3u8#MegaIPTVArgentina
ext,Melody Channel,rtmp://186.155.200.118:1935/live/MelodyChannel
ext,Televitrola,rtmp://186.155.200.118:1935/live/Televitrola
ext,Mi Gente TV,http://iphone-streaming.ustream.tv/ustreamVideo/18551741/streams/live/playlist.m3u8
ext,El Trece México,http://aztecalive-lh.akamaihd.net/i/0oxnvzh8a_1@175671/index_1_av-b.m3u8#MegaIPTVArgentina
Azteca13.mx,AZTECA 13,http://aztecalive-lh.akamaihd.net/i/0oxnvzh8a_1@175671/master.m3u8
Azteca13.mx,AZTECA NOTICIAS,http://urtmpkal-f.akamaihd.net/i/077zoqxzy_1@130091/index_3_av-p.m3u8
ext,AZTECA DEPORTES,http://aztecalive-lh.akamaihd.net/i/0sa0dg2r9_1@167681/index_2_av-p.m3u8
avi,PROYECTO 40,http://tvaz-pd.kaltura.com.edgesuite.net/p/461031/sp/46103100/serveFlavor/entryId/0_08wdjxfl/v/1/flavorId/0_8j06e5nk/forceproxy/true/name/a.mp4
CanalEstrellas.es,CANAL DE LAS ESTRELLAS,http://tvsawpdvr-lh.akamaihd.net/i/stch02wp_1@119660/index_1048_av-p.m3u8
ForoTV.mx,FORO TV,http://185417-f.akamaihd.net/i/n0tf0r0_1@81283/index_1200_av-b.m3u8#MegaIPTVArgentina
OnceTV.mx,Once TV,http://www.oncetvmexicolive.tv:1935/livepkgr2/smil:int.smil/playlist.m3u8#MegaIPTVArgentina
ext,GALATV Cancun,http://rightbrainmedia.mpl.miisolutions.net/rightbrainmedia-live-244/_definst_/mp4:GalaTVCancun/playlist.m3u8?
OnceTV.mx,ONCE TV,http://www.oncetvmexicolive.tv:1935/livepkgr2/smil:int.smil/playlist.m3u8
ext,MILENIO,http://brightcove03-f.akamaihd.net/milenio_centro_512k@101956
ext,PELICULAS LATINO,http://iphone-streaming.ustream.tv/uhls/18654330/streams/live/iphone/playlist.m3u8
ext,Megavision Canal 21 El Salvador,http://xgrupomegavisionx.api.channel.livestream.com/3.0/playlist.m3u8#MegaIPTVArgentina
ext,Nuestra Visión Canal 5 México,rtmp://159.16.243.10:1935/live/canal5/canal5
ext,TVMas,rtmp://50.7.98.234:1935/rtv/videortv
ext,MEXIQUENSE,rtmp://fss28.streamhoster.com:1935/lv_tvmexiquense/_definst_/broadcast1
ext,MOCHO TV,http://201.130.193.150:1935/codecsys/smil:ocho.smil/master.m3u8
ext,CANAL10 Cancun,http://www.promovision.mx:1935/live/tvlive2/playlist.m3u8?
ext,TV 4 Guanajuato,http://iphone-streaming.ustream.tv/uhls/4157836/streams/live/iphone/playlist.m3u8#MegaIPTVArgentina
ext,TV 4 Guanajuato (Opc.2),http://iphone-streaming.ustream.tv/ustreamVideo/4157836/streams/live/playlist.m3u8#MegaIPTVArgentina
ext,Canal 7 Mazatlan México,http://74.63.97.188:1935/gpacifico4/videogpacifico4/playlist.m3u8#MegaIPTVArgentina
ext,Canal 7 San Luis Potosí México,http://187.188.159.113:1935/live/web.sdp/playlist.m3u8#MegaIPTVArgentina
ext,Canal 13 San Luis Potosí México,rtmp://192.99.9.67:1935/8076/8076
ext,TeleMax Sonora México,http://enhd.co:1935/ilive/ilive/playlist.m3u8?MegaIPTVArgentina
ext,RTG Soy Guerrero México,http://50.7.98.234:1935/5936soyguerrero/guerrerovideo/playlist.m3u8#MegaIPTVArgentina
ext,Trecevision Yucatán México,http://74.222.3.185:1935/live/ngrp:trecevision_all/playlist.m3u8#MegaITVArgentina
ext,Acapulco TV México,rtmp://video.hosteris.com:1935/tvacapulco/tvacapulco
ext,Canal 4 Mérida México,rtmp://159.16.243.10:1935/live/canal4/canal4
ext,5TV Sabinas Coahuila México,http://50.7.29.178:1935/gnode06/videognode06/playlist.m3u8#MegaIPTVArgentina
ext,Canal 7 Noticias México,http://74.63.97.188:1935/c7/videoc7/playlist.m3u8#MegaIPTVArgentina
ext,Capital 21 México,http://187.237.253.94:8134/hls-live/livepkgr/_definst_/liveevent.m3u8#MegaIPTVArgentina
ext,Canal México TV,http://iphone-streaming.ustream.tv/ustreamVideo/18636540/streams/live/playlist.m3u8#MegaIPTVArgentina
