group,Colombia
ext,Canal Caracol HD,http://caracoltvlivehds-lh.akamaihd.net/i/emision_1@126280/index_300_av-b.m3u8
ext,RCN Novelas,http://oneplay.tv/darkuzdev/?ch=RCNnovelasLA
ext,Caracol Internacional,http://oneplay.tv/darkuzdev/?ch=CaracolIntSD
ext,Canal Uno,http://cdns840stu1010.multistream.net/rtvcCanalUNOlive/amlst:live/master.m3u8
ext,Canal Capital,http://cdns840stu1010.multistream.net/canalcapitallive/amlst:live/master.m3u8

group,Mexico y USA
Telemundo.mx,Telemundo,http://oneplay.tv/darkuzdev/?ch=TelemundoSD
UnivisionEast.us,Univision,http://oneplay.tv/darkuzdev/?ch=UnivisionEastUS
UniMas.us,Unimas,http://oneplay.tv/darkuzdev/?ch=UniMasUS
GalaTV.mx,Gala Tv,http://oneplay.tv/darkuzdev/?ch=GalaTVLA
CanalEstrellas.es,Canal de las Estrellas,http://oneplay.tv/darkuzdev/?ch=EstrellasLA
AZCorazon.cl,Azteca Mundo,http://oneplay.tv/darkuzdev/?ch=AzMundoLA
Pasiones.us,Pasiones,http://oneplay.tv/darkuzdev/?ch=PasionesSD
tlnovelas.mx,Telenovelas,http://oneplay.tv/darkuzdev/?ch=TlnovelasLA
ext,VMas+TV,http://uneapple-i.akamaihd.net/hls/live/207642/grupoune_st23@207642/st23_index.m3u8

group,Deportes
ext,Canal Azteca,http://38.104.228.230:1938/info7/info7_512/playlist.m3u8?
ESPN.mx,ESPN,http://oneplay.tv/darkuzdev/?ch=ESPNLA
ESPN2.mx,ESPN 2,http://oneplay.tv/darkuzdev/?ch=ESPN2LASD
ESPN3.mx,ESPN 3,http://oneplay.tv/darkuzdev/?ch=ESPN3LASD
ESPN.uk,ESPN USA,http://80.80.160.168/live/6/live.m3u8
FoxSports.mx,Fox Sports,http://oneplay.tv/darkuzdev/?ch=FoxSportsLA
FoxSports2.mx,Fox Sports 2,http://oneplay.tv/darkuzdev/?ch=FoxSports2SD
FoxSports3.mx,Fox Sports 3,http://oneplay.tv/darkuzdev/?ch=FoxSports3SD
ext,Bein Sports ñ,http://oneplay.tv/darkuzdev/?ch=BeinSportsLA
ext,Planeta Futbol,http://oneplay.tv/darkuzdev/?ch=PlanetaFutbolLA
ext,Planeta Futbol Ingles,http://oneplay.tv/darkuzdev/?ch=PlanetaFutbolEnglish
TDN.mx,TDN,http://oneplay.tv/darkuzdev/?ch=TDNMXLA
ext,Univision Deportes,http://oneplay.tv/darkuzdev/?ch=UnivisionEastUS
ext,UFC Network,http://oneplay.tv/darkuzdev/?ch=UFCNetworkLA
NFLNetwork.mx,NFL Network,http://oneplay.tv/darkuzdev/?ch=NFLNetworkUS
ext,CDN Sport Max,http://108.168.206.90:1935/cdnsm/cdnsm/playlist.m3u8
RaiSport1.it,Rai Sport 1,mmsh://212.162.68.163:80/raisport+
RaiSport2.it,Rai Sport 2,mmsh://212.162.68.163:80/raisport2

group,Informativos
cnn,CNN,http://oneplay.tv/darkuzdev/?ch=CNNLASD
NTN24.us,NTN24,http://oneplay.tv/darkuzdev/?ch=NTN24LA
TVE.mx,TVE,http://oneplay.tv/darkuzdev/?ch=TVELASD
ext,RT en Español,http://odna.octoshape.net/f3f5m2v4/cds/ch2_320p/chunklist.m3u8

group,Infantiles
BABYFIRST.sp,Baby First Tv,http://oneplay.tv/darkuzdev/?ch=BabyFirstLA
baby-tv,Baby Tv,http://oneplay.tv/darkuzdev/?ch=BabyTVLASD
Boomerang.mx,Boomerang,http://oneplay.tv/darkuzdev/?ch=BoomerangLA
DisneyJr.mx,DISNEY JR,http://oneplay.tv/darkuzdev/?ch=DisneyJrLASD
DisneyChannel.mx,DISNEY CHANNEL,http://oneplay.tv/darkuzdev/?ch=DisneyChannelNorteHD
NickJr.mx,NICK JR,http://oneplay.tv/darkuzdev/?ch=NickJrLASD
DisneyXD.mx,DISNEY XD,http://oneplay.tv/darkuzdev/?ch=DisneyXDSD
nickelod,NICK,http://oneplay.tv/darkuzdev/?ch=NickelodeonLA
CartoonNetwork.mx,CARTOON NETWORK,http://oneplay.tv/darkuzdev/?ch=CartoonNetworkLASD
Tooncast.mx,TOONCAST,http://oneplay.tv/darkuzdev/?ch=TooncastSD

group,Variedades y Culturales
History.uk,HISTORY,http://oneplay.tv/darkuzdev/?ch=HistoryLA
History2.cl,HISTORY 2,http://oneplay.tv/darkuzdev/?ch=H2LASD
DiscoveryChannel.mx,Discovery,http://oneplay.tv/darkuzdev/?ch=DiscoveryChLA
DiscoveryTheatreHD.ar,Discovery Theater,http://oneplay.tv/darkuzdev/?ch=DiscoveryenEspanolHD
discov_world,Discovery World,http://oneplay.tv/darkuzdev/?ch=DiscoveryWorldLA
ext,Discovery Home & Healt,http://oneplay.tv/darkuzdev/?ch=DiscoveryHomeHealthLAHD
